Seq ID	Length	GC Content	GC Skew	Melting Point	Mol Weight
2L52.1a	1284	287.15	0.2	1534	399363.14
2L52.1b	663	135.15	0.16	736	206073.35
2RSSE.1a	1032	275.26	0.02	1628	319168.29
2RSSE.1b	1437	370.26	0.0	2218	444266.16
3R5.1a	648	142.2	0.04	828	200484.11
3R5.1b	636	139.2	0.04	814	196737.71
4R79.1a	1035	224.19	0.06	1290	320532.05
4R79.1b	543	112.19	0.03	658	168042.54
4R79.2a	1188	260.17	0.14	1436	368626.03
4R79.2b	936	210.15	0.19	1124	290820.26
6R55.2	258	33.23	-0.29	252	79136.65
AC3.1	1068	174.19	-0.07	1098	329007.37
AC3.2	1578	318.16	0.12	1770	489055.17
AC3.3	1278	210.32	-0.32	1648	391390.04
AC3.4	1278	211.32	-0.31	1650	391421.05
AC3.5a	3273	649.18	0.05	3774	1013651.55
AC3.5b	2952	592.17	0.07	3398	914618.07
AC3.6	978	268.22	0.12	1494	303506.58
AC3.7	1590	269.19	-0.05	1670	490714.26
AC3.8	1596	285.18	-0.01	1722	493029.69
AC3.10	1056	223.18	0.09	1268	326840.91
AC3.12	285	75.12	0.38	368	88979.97
AC7.1a	1188	236.2	-0.0	1418	366683.17
AC7.1b	1161	233.2	0.01	1390	358433.89
AC7.2a	1680	353.21	-0.01	2134	519213.95
AC7.2b	1677	341.22	-0.03	2090	518052.32
AC7.2c	1896	401.22	-0.02	2432	585856.48
AC7.2d	1650	334.22	-0.04	2058	509612.92
AC7.3	711	159.19	0.09	902	220434.06
AC8.3	1320	317.2	0.09	1792	409469.86
AC8.4	654	151.21	0.05	878	202537.46
AC8.7	690	146.24	-0.06	912	212967.06
AC8.10	1320	317.2	0.09	1792	409469.86
AC8.11	654	151.21	0.05	878	202537.46
AC8.12	690	146.24	-0.06	912	212967.06
AH6.1	3414	722.17	0.1	4064	1057933.07
AH6.2	990	215.21	0.01	1278	306149.67
AH6.3	693	173.19	0.14	952	215759.4
AH6.4	996	170.19	-0.04	1050	307245.59
AH6.5	1404	297.26	-0.11	1924	432795.43
AH6.6	990	167.15	0.05	970	305864.79
AH6.7	990	157.18	-0.07	990	305146.3
AH6.8	990	159.18	-0.06	992	305187.28
AH6.10	990	179.18	-0.01	1078	305543.35
AH6.11	990	154.18	-0.08	978	304999.15
AH6.12	990	173.16	0.03	1016	305849.74
AH6.14	996	168.17	0.0	1008	307450.76
AH6.17	186	42.17	0.14	232	57772.01
AH9.1	1236	233.23	-0.11	1508	380254.54
AH9.2	897	206.24	-0.01	1246	277063.77
AH9.3	765	190.19	0.12	1056	237771.25
AH9.4	1095	225.22	-0.03	1382	337823.67
AH9.6	801	216.18	0.19	1156	248996.96
AH10.1	1701	448.23	0.06	2584	526749.78
AH10.2	738	105.23	-0.24	764	226621.02
AH10.3	519	110.18	0.08	626	160835.96
AH10.4	219	34.16	0.0	204	67643.35
B0001.1a	816	176.22	-0.01	1062	252226.21
B0001.1b	498	109.21	0.01	650	154005.43
B0001.1c	213	47.24	-0.05	292	65810.06
B0001.2	2781	595.17	0.11	3342	862483.42
B0001.3a	1776	406.2	0.08	2322	550201.72
B0001.3b	1728	395.2	0.06	2274	535220.13
B0001.3c	1725	394.2	0.06	2268	534288.54
B0001.4a	747	161.22	-0.01	974	230990.73
B0001.5	1662	353.24	-0.06	2216	513005.84
B0001.6	2025	397.22	-0.05	2468	625688.65
B0001.7a	2196	465.2	0.02	2758	679046.11
B0001.7b	2208	466.21	0.01	2770	682688.44
B0001.7c	366	57.23	-0.2	398	112629.14
B0001.8a	1473	318.21	0.01	1892	455703.46
B0001.8b	1479	319.21	0.01	1896	457571.66
B0001.8c	216	38.19	-0.04	234	66806.87
B0019.1	2175	451.25	-0.09	2874	670737.49
B0019.2	2244	466.2	0.01	2770	694063.02
B0024.1	894	236.26	0.02	1402	276739.53
B0024.2	894	242.23	0.08	1382	277436.17
B0024.3	765	166.15	0.18	896	237317.82
B0024.4	1173	197.19	-0.07	1244	361874.76
B0024.6a	3249	664.16	0.12	3706	1006884.65
B0024.6b	3261	666.16	0.12	3718	1010600.04
B0024.8a	3849	777.19	0.03	4558	1191306.8
B0024.8b	2073	411.19	0.01	2446	641369.76
B0024.8c	1806	362.19	0.03	2132	558944.95
B0024.8d	1800	351.19	0.0	2102	556631.41
B0024.9a	438	100.21	0.04	586	135486.51
B0024.9b	360	87.2	0.1	490	111557.22
B0024.10	1722	373.21	0.02	2208	533022.08
B0024.11	1734	412.19	0.12	2292	537953.95
B0024.12	498	111.2	0.04	648	153869.12
B0024.13	930	154.24	-0.18	1058	285732.49
B0024.14a	2703	628.2	0.07	3610	837019.72
B0024.14b	2901	679.2	0.08	3876	898628.11
B0024.14d	2715	630.2	0.07	3622	840717.09
B0024.14f	2628	616.2	0.08	3524	814028.06
B0024.15	1035	176.16	0.02	1044	319998.13
B0025.1a	2706	555.19	0.05	3228	837205.52
B0025.1b	1953	409.19	0.05	2380	604332.52
B0025.1c	2694	552.19	0.05	3212	833483.14
B0025.2	1488	286.17	0.06	1652	460811.34
